contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSTR250919C00330000,2025-09-12 19:59:16+00:00,330.0,9.7,9.7,10.0,2.0,25.974026,5648.0,3455,0.5387009020996094,True,REGULAR,USD
MSTR250919C00332500,2025-09-12 19:58:47+00:00,332.5,8.61,8.35,8.8,2.2599998,35.590546,3977.0,1273,0.5357712438964843,False,REGULAR,USD
MSTR250919C00335000,2025-09-12 19:59:43+00:00,335.0,7.46,7.4,7.5,1.7400002,30.419584,5004.0,2018,0.5351608984375,False,REGULAR,USD
MSTR250919C00337500,2025-09-12 19:56:44+00:00,337.5,6.4,6.3,6.6,1.46,29.554657,4758.0,15914,0.5356491748046875,False,REGULAR,USD
MSTR250919C00340000,2025-09-12 19:59:56+00:00,340.0,5.5,5.45,5.6,1.21,28.20513,36258.0,34658,0.5345505529785157,False,REGULAR,USD
MSTR250919C00342500,2025-09-12 19:59:51+00:00,342.5,4.7,4.6,4.85,0.99999976,27.02702,28079.0,1334,0.5350388293457031,False,REGULAR,USD
MSTR250919C00345000,2025-09-12 19:59:52+00:00,345.0,4.05,3.95,4.1,0.9000001,28.57143,10455.0,6982,0.5360153820800782,False,REGULAR,USD
MSTR250919C00347500,2025-09-12 19:56:23+00:00,347.5,3.45,3.35,3.55,0.71000004,25.91241,1796.0,6408,0.5399215930175782,False,REGULAR,USD
MSTR250919C00350000,2025-09-12 19:59:53+00:00,350.0,2.95,2.91,2.95,0.72,32.286995,16987.0,11460,0.5423629748535157,False,REGULAR,USD
MSTR250919C00352500,2025-09-12 19:58:32+00:00,352.5,2.53,2.33,2.64,0.5799999,29.743586,2617.0,7060,0.5454147021484376,False,REGULAR,USD
MSTR250919C00355000,2025-09-12 19:59:38+00:00,355.0,2.11,2.1,2.28,0.41999984,24.852062,2618.0,1996,0.5566450585937501,False,REGULAR,USD
MSTR250919C00357500,2025-09-12 19:58:49+00:00,357.5,1.85,1.74,2.01,0.49,36.029415,3598.0,1023,0.5620160986328125,False,REGULAR,USD
MSTR250919C00360000,2025-09-12 19:59:54+00:00,360.0,1.58,1.58,1.63,0.30000007,23.437506,11667.0,4251,0.5676312768554688,False,REGULAR,USD
MSTR250919C00362500,2025-09-12 19:48:57+00:00,362.5,1.4,1.3,1.45,0.27999997,24.999996,1079.0,1234,0.5732464550781251,False,REGULAR,USD
MSTR250919C00365000,2025-09-12 19:59:15+00:00,365.0,1.2,1.16,1.27,0.18000007,17.647066,2714.0,2170,0.5839885351562499,False,REGULAR,USD
MSTR250919C00367500,2025-09-12 19:59:12+00:00,367.5,1.04,1.0,1.09,0.18999994,22.352934,560.0,561,0.5900919897460939,False,REGULAR,USD
MSTR250919C00370000,2025-09-12 19:59:38+00:00,370.0,0.95,0.88,0.97,0.13,15.853659,3951.0,5169,0.6003457934570313,False,REGULAR,USD
MSTR250919C00372500,2025-09-12 19:36:12+00:00,372.5,0.79,0.76,0.9,0.08000004,11.267612,533.0,596,0.6123085644531252,False,REGULAR,USD
MSTR250919C00375000,2025-09-12 19:58:31+00:00,375.0,0.75,0.69,0.78,0.060000002,8.695652,1389.0,2062,0.6215858154296876,False,REGULAR,USD
MSTR250919C00377500,2025-09-12 19:58:39+00:00,377.5,0.68,0.62,0.69,0.13,23.636362,1124.0,389,0.631839619140625,False,REGULAR,USD
MSTR250919C00380000,2025-09-12 19:54:59+00:00,380.0,0.57,0.57,0.65,0.0,0.0,1615.0,3057,0.6469761865234375,False,REGULAR,USD
MSTR250919C00382500,2025-09-12 19:59:41+00:00,382.5,0.64,0.5,0.63,0.14999998,30.61224,101.0,453,0.6611362011718751,False,REGULAR,USD
MSTR250919C00385000,2025-09-12 19:59:17+00:00,385.0,0.5,0.45,0.54,0.0,0.0,708.0,10895,0.6679720703125002,False,REGULAR,USD
MSTR250919C00390000,2025-09-12 19:57:21+00:00,390.0,0.41,0.38,0.45,-0.03999999,-8.888887,1184.0,24019,0.6914093359375001,False,REGULAR,USD
MSTR250919C00395000,2025-09-12 18:35:43+00:00,395.0,0.37,0.34,0.44,-0.06999999,-15.909089,1303.0,4929,0.7270535107421875,False,REGULAR,USD
MSTR250919C00400000,2025-09-12 19:59:58+00:00,400.0,0.31,0.31,0.32,-0.060000002,-16.216217,4827.0,12665,0.7426783544921874,False,REGULAR,USD
MSTR250919C00405000,2025-09-12 19:36:59+00:00,405.0,0.32,0.23,0.34,-0.01000002,-3.0303092,175.0,997,0.7709983837890625,False,REGULAR,USD
MSTR250919C00410000,2025-09-12 19:45:19+00:00,410.0,0.27,0.22,0.29,-0.03999999,-12.903222,611.0,1752,0.79687703125,False,REGULAR,USD
MSTR250919C00415000,2025-09-12 19:56:10+00:00,415.0,0.24,0.19,0.3,-0.07000001,-22.580647,92.0,1525,0.8291032714843749,False,REGULAR,USD
MSTR250919C00420000,2025-09-12 19:59:57+00:00,420.0,0.16,0.17,0.24,-0.09,-36.0,1538.0,3942,0.8447281152343749,False,REGULAR,USD
MSTR250919C00425000,2025-09-12 19:36:35+00:00,425.0,0.23,0.14,0.22,0.010000005,4.545457,232.0,2187,0.8652357226562499,False,REGULAR,USD
MSTR250919C00430000,2025-09-12 19:49:40+00:00,430.0,0.2,0.13,0.19,0.010000005,5.2631607,436.0,2960,0.885743330078125,False,REGULAR,USD
MSTR250919C00435000,2025-09-12 18:47:06+00:00,435.0,0.16,0.12,0.19,-0.060000002,-27.272728,77.0,1027,0.9160164648437501,False,REGULAR,USD
MSTR250919C00440000,2025-09-12 19:59:29+00:00,440.0,0.12,0.12,0.15,-0.04,-25.0,462.0,1993,0.93164130859375,False,REGULAR,USD
MSTR250919C00445000,2025-09-12 19:44:59+00:00,445.0,0.14,0.09,0.16,-0.019999996,-12.499998,24.0,778,0.95507857421875,False,REGULAR,USD
