Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-09-09,219.37892899374344,219.82598924771256,215.2957503769675,219.4683380126953,219.4683380126953,67180000,AAPL
2024-09-10,217.49131703149231,220.03460793809228,215.31560663834654,218.67355346679688,218.67355346679688,51591000,AAPL
2024-09-11,220.01475867053273,221.63411098197892,216.4680492147489,221.20692443847656,221.20692443847656,44587100,AAPL
2024-09-12,221.04796566036197,222.09111639532034,218.38546260882887,221.3162078857422,221.3162078857422,37455600,AAPL
2024-09-13,222.12091208096655,222.57790161811045,220.46181236980377,221.04795837402344,221.04795837402344,36766600,AAPL
2024-09-16,215.126845002842,215.80241517960704,212.52394807405793,214.90829467773438,214.90829467773438,59357400,AAPL
2024-09-17,214.3419921866889,215.48448109873988,213.10014982176025,215.3751983642578,215.3751983642578,45519300,AAPL
2024-09-18,216.1302484418979,221.2565773677011,216.12030400107497,219.249755859375,219.249755859375,59894900,AAPL
2024-09-19,223.52171975466862,228.32020097310811,223.16406850984052,227.3763885498047,227.3763885498047,66781300,AAPL
2024-09-20,228.46919216926284,231.56882586153637,226.13452245924367,226.7107391357422,226.7107391357422,318679900,AAPL
2024-09-23,225.8563676699032,227.95259834339626,224.33635371548323,224.99205017089844,224.99205017089844,54146000,AAPL
2024-09-24,227.15779954496355,227.8532433973514,224.2568575968381,225.8861541748047,225.8861541748047,43556100,AAPL
2024-09-25,223.462095237407,225.80669443859438,222.55804543582803,224.8927001953125,224.8927001953125,42308700,AAPL
2024-09-26,225.81665178414175,227.00881759745033,223.9389864593978,226.03521728515625,226.03521728515625,36636700,AAPL
2024-09-27,226.9690618971705,228.02214184296878,225.8166284941723,226.3034210205078,226.3034210205078,34026000,AAPL
2024-09-30,228.53875664504176,231.4794464111328,228.15130238402674,231.4794464111328,231.4794464111328,54541900,AAPL
2024-10-01,228.02214574584622,228.15128705136544,222.2798675150603,224.73374938964844,224.73374938964844,63285000,AAPL
2024-10-02,224.41584231153624,225.8861795938886,221.56457676904253,225.30003356933594,225.30003356933594,32880600,AAPL
2024-10-03,223.67072564154154,225.3298253274289,221.8626109260752,224.197265625,224.197265625,34044200,AAPL
2024-10-04,226.41269745663615,226.51205091107013,222.66731173997377,225.31988525390625,225.31988525390625,37245100,AAPL
2024-10-07,223.0348997045567,224.21713611955545,219.885589131397,220.2432403564453,220.2432403564453,39505400,AAPL
2024-10-08,222.83622285599392,224.50525191173782,221.79307211654884,224.296630859375,224.296630859375,31855700,AAPL
2024-10-09,223.7601370790405,228.25064364916537,223.36275355639287,228.04200744628906,228.04200744628906,33591100,AAPL
2024-10-10,226.29350107451606,228.00227752622936,225.68748134269669,227.54527282714844,227.54527282714844,28183500,AAPL
