asset,q,c,log_likelihood,delta_ll_vs_zero,ks_statistic,pit_ks_pvalue,calibration_warning,mean_drift_var,mean_posterior_unc,n_obs,fallback_reason,timestamp
PLTR,7.031653585535114e-08,0.6591397261189413,2445.3572420252262,-0.5238347738645643,0.016623012146292138,0.8578527025753407,False,1.6149720043117213e-05,1.0529341852050348e-05,1304,,2026-01-09T14:58:02Z
QCOM,1.8426786180037596e-08,0.7971538400424343,7111.371270427083,-7.039552217005621,0.031817278221639794,0.007455792453448982,True,1.2527526471230554e-06,2.623551399912587e-06,2751,,2026-01-09T14:58:31Z
SMH,1.3578312022723741e-08,0.8757122912253402,7483.252279839827,2.528812927749641,0.02244780279458236,0.12311727332381306,False,2.0172089944395743e-06,1.908199271933187e-06,2751,,2026-01-09T14:59:01Z
TXN,9.091613874967896e-09,0.8641929509831398,7622.432116506845,0.4640379659485916,0.014056780927364954,0.6432972493288858,False,1.4200783791304147e-06,1.5198934100495854e-06,2751,,2026-01-09T14:59:32Z
GOOG,1.4053785017115703e-08,0.7893594209688016,7725.762576934027,3.4227030825941256,0.02858454780841746,0.02188572153128346,True,1.739439581877797e-06,1.78697446078549e-06,2751,,2026-01-09T15:00:02Z
GOOGL,1.3366267218642194e-08,0.7894627095960891,7707.20802211691,2.3876519957857454,0.023380253796730643,0.09737571436531589,False,1.6803003071821519e-06,1.7600884527650054e-06,2750,,2026-01-09T15:00:32Z
META,9.234591229978526e-09,0.7468872017515112,7190.539424990984,0.3601824673896772,0.021359947605807228,0.1601040351360139,False,1.7253753868823077e-06,1.6725679017902765e-06,2751,,2026-01-09T15:00:59Z
NFLX,1.942723511472959e-08,0.7445013425033914,6710.037987002473,-3.537959969423355,0.02094322878012697,0.17658581998531486,False,2.0459938690406708e-06,3.1235710111592016e-06,2750,,2026-01-09T15:01:30Z
ABBV,1.1933975361297225e-08,0.7587561982583416,7998.790036715677,4.847167795048335,0.012711600632920261,0.7606297059240726,False,1.6114672034213558e-06,1.6366403100553136e-06,2751,,2026-01-09T15:02:01Z
ABT,7.66830428765113e-09,0.8502632259551323,8270.821768939957,-5.795388617927529,0.015405812770719784,0.5260478769833092,False,6.162622785495821e-07,1.138994978226136e-06,2751,,2026-01-09T15:02:31Z
AMGN,9.20431345844278e-09,0.7532047720648918,8031.6418910566945,-7.515548681973087,0.014808667482086868,0.5772175065202332,False,5.212083488301234e-07,1.2658060966760849e-06,2751,,2026-01-09T15:03:01Z
BMY,2.6615758279095646e-08,0.7828870058338809,8029.191212426083,-7.335535934024847,0.021482418375989853,0.15554150617885076,False,1.0633005410077165e-06,2.0211668321031413e-06,2751,,2026-01-09T15:03:32Z
CVS,1.859085788144652e-08,0.7636402903037507,7809.180262795274,-8.69006690715105,0.018220786556866764,0.3167449893508555,False,8.835373214192119e-07,1.7853811162772644e-06,2751,,2026-01-09T15:04:00Z
DHR,6.8089294243117446e-09,0.8017078886670792,8107.82012720975,-2.646368628374148,0.018668022645244642,0.2894503724147979,False,9.465739847387503e-07,1.0667451354400614e-06,2751,,2026-01-09T15:04:29Z
GILD,1.0008805342871896e-08,0.8068277801775161,7913.358245886603,-8.226008550963343,0.014101054247285194,0.6393813201367969,False,5.686832356831802e-07,1.5999528926381336e-06,2751,,2026-01-09T15:04:57Z
ISRG,1.196920546035241e-08,0.7314405299756502,7534.371236844931,2.1022986202688116,0.02681217013259929,0.03761334698220431,True,1.5368793868936054e-06,1.6425211039815006e-06,2751,,2026-01-09T15:05:27Z
JNJ,5.657329227783042e-09,0.8013368531744798,9025.71374872877,-3.882190928517957,0.02149109161551427,0.15522237513875836,False,4.6562995568857846e-07,7.531106177703834e-07,2751,,2026-01-09T15:05:56Z
LLY,2.303944959468169e-08,0.7172190393537673,7735.464945793359,2.918725721277042,0.018809498737715258,0.2811736300539237,False,1.9031779672569176e-06,1.958664942164507e-06,2751,,2026-01-09T15:06:26Z
MDT,7.914793593686018e-09,0.8698565898947663,8385.479355307543,-7.498642135547925,0.028194602733971175,0.02472821759905497,True,5.438251572588123e-07,1.195382218742135e-06,2751,,2026-01-09T15:06:56Z
MRK,9.597556246093495e-09,0.7565444831748318,8358.93190576408,-7.157194999537751,0.016450987832541508,0.4413225703220772,False,6.11997762737111e-07,1.1389776265925817e-06,2751,,2026-01-09T15:07:28Z
NVO,1.7457628074179225e-08,0.787299681393816,7555.144628396235,0.737653502737885,0.02416933022480705,0.07908624013211396,False,2.1592894116271005e-06,2.057539806588138e-06,2751,,2026-01-09T15:07:57Z
PFE,1.280789920607919e-08,0.8675971816975376,8304.352853093998,-3.9612441643021157,0.013868681329354482,0.6599392330168821,False,1.357484233597827e-06,1.3894659679315436e-06,2751,,2026-01-09T15:08:27Z
TMO,1.4074276227576391e-08,0.8700009129224023,7987.336432899511,-4.026774787616887,0.023174008206359176,0.10255898857662671,False,1.2516342956710877e-06,1.6375834419881107e-06,2751,,2026-01-09T15:08:55Z
UNH,2.927314689295648e-09,0.7042869483944105,7950.458265874601,-2.7255679286790837,0.01197113177056846,0.8207335568260917,False,5.544841757603573e-07,8.369944085910978e-07,2751,,2026-01-09T15:09:26Z
AIG,3.5470188079631065e-09,0.883746957070354,7863.028959952963,-5.687728356008847,0.01748134225301251,0.3656353413672373,False,5.921838479389759e-07,9.880726903557174e-07,2751,,2026-01-09T15:09:55Z
AXP,4.9806073401493904e-09,0.7962347248094788,7884.841835215902,-0.5862066643621802,0.027027865189931444,0.0352796360104225,True,8.271311159438516e-07,1.1314303920740502e-06,2751,,2026-01-09T15:10:25Z
BAC,7.691496276156345e-09,0.8751825737206933,7617.5113103673675,-4.940828564975163,0.019200955190544933,0.2591613579431309,False,7.873970850762092e-07,1.5614512353441495e-06,2751,,2026-01-09T15:10:57Z
BK,9.164254099233808e-09,0.8479555635620609,7984.158140875585,-1.1961223717162284,0.029301306955922146,0.01740940302329876,True,9.800697432700586e-07,1.4468653163265338e-06,2751,,2026-01-09T15:11:27Z
BLK,1.3311708552583407e-08,0.8903843215598758,7955.01521980653,-0.36337866054145707,0.016504548847703138,0.43718275267647067,False,1.5556745026750472e-06,1.6744728081785777e-06,2751,,2026-01-09T15:11:58Z
C,1.7432227196547202e-08,0.8785862081819175,7568.685744790212,-3.5121418353965055,0.017558552509121694,0.3603129699554489,False,1.5541205005412135e-06,2.1526529592036067e-06,2751,,2026-01-09T15:12:31Z
COF,1.0282022387475299e-08,0.8766357708511373,7318.064233366174,-5.516336474749551,0.012434314468933894,0.783721607803149,False,1.0188943932042465e-06,1.7906999859914969e-06,2751,,2026-01-09T15:13:00Z
GS,1.49502143114608e-08,0.8808111482228552,7695.36172027618,-4.824796553152737,0.017329802072271694,0.37622684948539553,False,1.2574749331527328e-06,1.926286607098665e-06,2751,,2026-01-09T15:13:29Z
IBKR,1.5636202164543138e-08,0.8712436405475945,7282.514075140445,4.63499892235177,0.015349070933751374,0.5308380138280644,False,2.481356978757947e-06,2.1600324090984665e-06,2751,,2026-01-09T15:13:59Z
JPM,7.259889046928718e-09,0.8635179742258314,8074.854729198041,1.2190927581614233,0.01851929519008333,0.29833634718846935,False,1.2560687498590555e-06,1.2844256533917855e-06,2751,,2026-01-09T15:14:28Z
MA,4.5742217034897e-09,0.8575495296141834,8147.299494570815,4.925778665941834,0.029992046113051785,0.013889573980730624,True,1.4798073095730372e-06,1.0128004746796977e-06,2751,,2026-01-09T15:14:58Z
MET,3.3334836605467508e-09,0.8816651300521343,7750.329583220426,-5.297644467740611,0.020550850811110744,0.19297690066604678,False,5.309665589866951e-07,1.0794421797427535e-06,2751,,2026-01-09T15:15:28Z
MS,1.1489866206000563e-08,0.8656007912334104,7537.381716245739,-3.195992482747897,0.01972738252007511,0.23158994945248468,False,1.1657021339065539e-06,1.7966050786877786e-06,2751,,2026-01-09T15:15:58Z
PYPL,2.0722668541331282e-08,0.8304411508905789,6685.17640286501,-1.4909931865877297,0.017205250236295933,0.41413766877175384,False,2.592492677440293e-06,2.9096369099163986e-06,2625,,2026-01-09T15:16:26Z
SCHW,8.935474551929722e-09,0.7841644308677564,7305.360992541094,-3.9060451956129327,0.01596969924141678,0.47944989346276334,False,1.1981135846676644e-06,1.807048080267271e-06,2751,,2026-01-09T15:16:57Z
USB,1.0875804542302303e-08,0.8718821834678792,7925.0591679052,-9.339117145193995,0.023801735004945757,0.08716493137280634,False,5.150740254250118e-07,1.5263577487183152e-06,2751,,2026-01-09T15:17:26Z
V,5.156702634093459e-09,0.8571177167751338,8337.766449723054,3.656861553712588,0.023759841772215906,0.0881281418743689,False,1.19237281738499e-06,1.0050945572684224e-06,2751,,2026-01-09T15:17:55Z
WFC,6.153432908106749e-09,0.8628119905931965,7671.576666169827,-6.945709112383156,0.02270968794232786,0.11534498611663702,False,4.4260461959424664e-07,1.2813482594720603e-06,2751,,2026-01-09T15:18:24Z
HOOD,1.653105721844117e-07,0.8528974924140218,2093.183961533063,2.1087632718636087,0.020679796280779983,0.727993748982811,False,2.8122781540391553e-05,1.614806783858481e-05,1097,,2026-01-09T15:18:37Z
AMZN,1.9008877238436825e-08,0.8641421300213438,7388.72832277814,-0.8592547191874473,0.020906645069234953,0.177925137722026,False,1.9340252195694464e-06,2.6079661106601423e-06,2751,,2026-01-09T15:19:08Z
BKNG,1.2480184411710886e-08,0.811039123175341,7544.88485072711,-3.617611979841058,0.02713778553296442,0.034139895818240173,True,1.5458197737699156e-06,1.902726509995283e-06,2751,,2026-01-09T15:19:39Z
GM,1.8825591944074003e-08,0.8594407885850647,7151.41333812029,-6.828259460476147,0.02214403493450451,0.13266399203702828,False,1.6768189550873956e-06,2.5744667200186407e-06,2751,,2026-01-09T15:20:08Z
HD,4.685546351559599e-09,0.8708448885087187,8293.845828736852,1.5941182342485263,0.013178400571986694,0.7206130881351498,False,1.1220141312913886e-06,1.0116520854103482e-06,2751,,2026-01-09T15:20:37Z
LOW,7.594668985152619e-09,0.8697537877314744,7830.102473433905,-4.350787267941996,0.024068204759498057,0.08124302244448689,False,1.0690826650718832e-06,1.3590057878256707e-06,2751,,2026-01-09T15:21:07Z
MCD,2.7459379634592695e-09,0.8764452571628528,8888.82357362643,0.5999693307003326,0.016125381137772954,0.4669393791672931,False,5.822138372240182e-07,6.854763775624002e-07,2751,,2026-01-09T15:21:37Z
NKE,1.7052838366483312e-08,0.7569552648341605,7608.127587526466,-6.033706474208884,0.01993718064819494,0.2212381559233454,False,1.198474022992726e-06,1.8734945941268762e-06,2751,,2026-01-09T15:22:08Z
SBUX,1.012270740025598e-08,0.7554293461605314,7984.142429725785,-1.476587572844437,0.013079177807155506,0.7292150257299499,False,1.134665370733104e-06,1.3607232777634232e-06,2751,,2026-01-09T15:22:38Z
TGT,2.1735229140885375e-08,0.7254043646564488,7519.413020598902,-5.8329312210426,0.020169644711156343,0.21018261458706378,False,1.3384889628311932e-06,2.1220260083256144e-06,2751,,2026-01-09T15:23:08Z
TSLA,4.617129645986726e-07,0.861565401242322,5743.068310674634,-0.6143318747144804,0.022732371431317233,0.11469121239257152,False,2.096059078638891e-05,1.9866076465759993e-05,2751,,2026-01-09T15:23:38Z
CAT,2.6447735898970107e-08,0.8678162897170454,7496.754392705977,0.7563568362938895,0.02143695607620305,0.15722287807595803,False,1.942425045149027e-06,2.7728729346191925e-06,2751,,2026-01-09T15:24:07Z
DE,9.382472247462061e-09,0.8042866576767291,7666.0810751654635,-2.0220187494405764,0.022477225562918757,0.1222232229565573,False,1.120301563676913e-06,1.4658015916817376e-06,2751,,2026-01-09T15:24:37Z
